"time","siteID","gcc_90","gcc_sd","radiation","max_temp","min_temp","precip"
2016-12-13,"HARV",0.32901,0.000213924186456361,3.612327579,2.42,-3.12,2.6
2016-12-14,"HARV",0.32811,0.00014603454441764,5.534190116,0.64,-5.64,0
2016-12-15,"HARV",0.32955,0.000462707531375751,3.5509090629,-6.91,-10.52,0
2016-12-16,"HARV",0.32874,0.000329109296404083,7.9926175,-8.23,-20.13,0
2016-12-17,"HARV",0.33152,0.000355485296346226,6.4659791847,3.23,-19.47,19.89
2016-12-18,"HARV",0.33194,0.000261830569924404,6.3101798366,7.52,-8.72,18.94
2016-12-19,"HARV",0.32941,0.000295099360644958,4.4896856295,-5.48,-10.2,0
2016-12-20,"HARV",0.3296,0.000368432983965153,8.6385783792,-3.36,-19.73,0
2016-12-21,"HARV",0.32933,0.000474848622925124,8.7451162125,1.68,-18.91,0
2016-12-22,"HARV",0.32927,0.00073531987652744,5.77702104,1.39,-10.34,5.22
2016-12-23,"HARV",0.32933,0.000450692276573792,6.1328213954,2.94,-4.95,0
2016-12-24,"HARV",0.32995,0.000259352927927359,4.5581783296,2.52,-5.32,15.95
2016-12-25,"HARV",0.32969,0.000261996778294568,5.0539245705,3.41,-2.78,0
2016-12-26,"HARV",0.33023,0.000514899540033329,6.48398115,7.74,-11.63,4.58
2016-12-27,"HARV",0.33142,0.000391143652821905,8.6521643376,9.07,-9.83,0
2016-12-28,"HARV",0.32951,0.000210381116751759,2.3117670483,1.59,-1.15,0
2016-12-29,"HARV",0.33074,0.00033315683932922,2.1157944489,-0.59,-3.87,13.35
2016-12-30,"HARV",0.32913,0.00052266120450429,3.364730039,-0.23,-4.14,0
2016-12-31,"HARV",0.32985,0.000322748417217381,NA,NA,NA,NA
2017-01-01,"HARV",0.33002,0.000742106248237721,6.8177933091,2.31,-6.5,0
2017-01-02,"HARV",0.32976,0.000134879538092021,7.925471367,1.95,-9.68,0
2017-01-03,"HARV",0.3301,0.000134008071642364,5.721164256,2.67,-7.82,13.44
2017-01-04,"HARV",0.33048,0.000281504141412979,3.5922872112,4.18,0.21,0
2017-01-05,"HARV",0.32928,0.000362662152332849,4.635933426,-2.68,-7.73,0
2017-01-06,"HARV",0.32916,0.000223753349079942,3.2236183148,-3.94,-7.31,0
2017-01-07,"HARV",0.32927,0.000140932608008216,4.1447874305,-7.7,-13.73,2.89
2017-01-08,"HARV",0.32865,0.000574625734451456,8.116146001,-8.34,-18.81,0
2017-01-09,"HARV",0.32841,0.000179262293290921,8.4682610118,-8.81,-20.11,0
2017-01-10,"HARV",0.32982,0.000100656327801738,7.2174865865,5.63,-20.33,5.19
2017-01-11,"HARV",0.32971,0.000391252893319159,7.2359531745,8.44,-13.75,4.74
2017-01-12,"HARV",0.33217,0.000250503757762355,6.3881029196,9.92,-1.86,5.29
2017-01-13,"HARV",0.32894,0.000263528214808203,3.1212872475,3.86,0.74,0
2017-01-14,"HARV",0.3283,0.000106585024027484,8.4556459602,-1.64,-11.92,0
2017-01-15,"HARV",0.32855,0.000621635730331273,9.1969958233,0.02,-12.2,0
2017-01-16,"HARV",0.32831,0.00030305686406538,9.762326973,2.21,-12.46,0
2017-01-17,"HARV",0.3283,0.000299867464601502,7.4875467664,3.57,-12.02,9.33
2017-01-18,"HARV",0.32792,0.000297877994473973,7.1771749941,0.68,-6.65,1.55
2017-01-19,"HARV",0.33022,0.000306804560538705,5.8337886597,4.61,-1.07,0
2017-01-20,"HARV",0.32969,9.58248827980775e-05,3.5464911878,1.15,-2.07,0
2017-01-21,"HARV",NA,NA,9.3870351401,8.55,-2.74,0
2017-01-22,"HARV",NA,NA,5.6769034384,5,-0.33,0.53
2017-01-23,"HARV",NA,NA,1.0393374442,-0.71,-1.44,12.05
2017-01-24,"HARV",NA,NA,2.5192491834,0.53,-2.35,4.64
2017-01-25,"HARV",NA,NA,3.9188390868,2.31,-2.32,2.02
2017-01-26,"HARV",NA,NA,7.89499872,6.11,-1.45,0
2017-01-27,"HARV",NA,NA,3.4005852552,2.88,0.04,0
2017-01-28,"HARV",NA,NA,2.7169954812,0.78,-1.35,0
2017-01-29,"HARV",NA,NA,6.4867845902,1.52,-4.01,0
2017-01-30,"HARV",0.32939,0.000502268103055472,8.916701976,-1.41,-9.48,0
2017-01-31,"HARV",0.3284,0.000217323323503886,9.4925695889,-4.33,-12.93,1.89
2017-02-01,"HARV",0.32916,0.000285092397482011,11.619836286,1.26,-11.91,0
2017-02-02,"HARV",0.32875,0.000285415775488946,10.5019698243,0.29,-9.62,0
2017-02-03,"HARV",0.32894,0.000194108759751442,9.9075935924,-2.51,-11.3,0
2017-02-04,"HARV",0.32869,0.000316794207326959,11.0638685286,-1.72,-12.35,0
2017-02-05,"HARV",0.32899,0.000131323939717235,11.991637958,1.07,-11.8,0
2017-02-06,"HARV",0.32886,0.00021322443479075,8.145445109,-0.02,-6.71,0
2017-02-07,"HARV",NA,NA,2.4203567016,-1.35,-3.63,13.67
