"basePlot","n_samples"
"ABBY_001.basePlot.bgc",1
"ABBY_002.basePlot.bgc",1
"ABBY_003.basePlot.bgc",2
"ABBY_004.basePlot.bgc",1
"ABBY_006.basePlot.bgc",2
"ABBY_023.basePlot.bgc",1
"ABBY_061.basePlot.bgc",1
"ABBY_062.basePlot.bgc",1
"ABBY_063.basePlot.bgc",1
"ABBY_070.basePlot.bgc",1
"BARR_002.basePlot.bgc",1
"BARR_003.basePlot.bgc",1
"BARR_004.basePlot.bgc",1
"BARR_005.basePlot.bgc",1
"BARR_006.basePlot.bgc",1
"BARR_051.basePlot.bgc",1
"BARR_052.basePlot.bgc",1
"BARR_053.basePlot.bgc",1
"BARR_054.basePlot.bgc",1
"BART_001.basePlot.bgc",1
"BART_002.basePlot.bgc",2
"BART_003.basePlot.bgc",2
"BART_004.basePlot.bgc",16
"BART_023.basePlot.bgc",2
"BART_024.basePlot.bgc",1
"BART_036.basePlot.bgc",2
"BART_040.basePlot.bgc",2
"BART_042.basePlot.bgc",1
"BART_071.basePlot.bgc",1
"BLAN_001.basePlot.bgc",1
"BLAN_002.basePlot.bgc",1
"BLAN_003.basePlot.bgc",1
"BLAN_004.basePlot.bgc",1
"BLAN_005.basePlot.bgc",1
"BLAN_007.basePlot.bgc",1
"BLAN_031.basePlot.bgc",1
"BLAN_032.basePlot.bgc",1
"BLAN_033.basePlot.bgc",1
"BLAN_038.basePlot.bgc",1
"BONA_001.basePlot.bgc",1
"BONA_004.basePlot.bgc",1
"BONA_006.basePlot.bgc",1
"BONA_009.basePlot.bgc",1
"BONA_013.basePlot.bgc",1
"BONA_070.basePlot.bgc",1
"BONA_071.basePlot.bgc",1
"BONA_080.basePlot.bgc",1
"CLBJ_001.basePlot.bgc",3
"CLBJ_002.basePlot.bgc",3
"CLBJ_003.basePlot.bgc",2
"CLBJ_006.basePlot.bgc",3
"CLBJ_031.basePlot.bgc",3
"CLBJ_032.basePlot.bgc",3
"CLBJ_033.basePlot.bgc",3
"CLBJ_034.basePlot.bgc",4
"CLBJ_038.basePlot.bgc",3
"CLBJ_040.basePlot.bgc",3
"CPER_001.basePlot.bgc",3
"CPER_002.basePlot.bgc",3
"CPER_003.basePlot.bgc",3
"CPER_004.basePlot.bgc",3
"CPER_005.basePlot.bgc",3
"CPER_006.basePlot.bgc",3
"CPER_045.basePlot.bgc",2
"CPER_046.basePlot.bgc",2
"CPER_047.basePlot.bgc",3
"CPER_048.basePlot.bgc",2
"DEJU_001.basePlot.bgc",4
"DEJU_002.basePlot.bgc",4
"DEJU_006.basePlot.bgc",4
"DEJU_009.basePlot.bgc",4
"DEJU_014.basePlot.bgc",4
"DEJU_015.basePlot.bgc",4
"DEJU_045.basePlot.bgc",3
"DEJU_046.basePlot.bgc",4
"DEJU_047.basePlot.bgc",4
"DEJU_048.basePlot.bgc",4
"DELA_001.basePlot.bgc",1
"DELA_002.basePlot.bgc",1
"DELA_003.basePlot.bgc",1
"DELA_004.basePlot.bgc",1
"DELA_005.basePlot.bgc",1
"DELA_014.basePlot.bgc",1
"DELA_037.basePlot.bgc",1
"DELA_038.basePlot.bgc",1
"DELA_040.basePlot.bgc",1
"DELA_041.basePlot.bgc",1
"DSNY_001.basePlot.bgc",2
"DSNY_003.basePlot.bgc",2
"DSNY_004.basePlot.bgc",4
"DSNY_005.basePlot.bgc",2
"DSNY_006.basePlot.bgc",1
"DSNY_009.basePlot.bgc",2
"DSNY_016.basePlot.bgc",1
"DSNY_041.basePlot.bgc",2
"DSNY_042.basePlot.bgc",1
"DSNY_043.basePlot.bgc",2
