"uid","domainID","siteID","namedLocation","laboratoryName","collectDate","processedDate","genomicsSampleID","deprecatedVialID","dnaSampleID","internalLabID","sequenceAnalysisType","testMethod","sampleMaterial","sampleMass","nucleicAcidConcentration","nucleicAcidQuantMethod","nucleicAcidPurity","dnaPooledStatus","qaqcStatus","dnaProcessedBy","remarks","dataQF","publicationDate"
"c411fc35-3b65-48fb-ba79-fba6e5b4db79","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","2014-05-20 13:26:00","2017-11-29","BART_004-O-12-7-20140520-GEN",NA,"BART_004-O-12-7-20140520-GEN-DNA2","BMI_Plate19WellF12","metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,26,"Quantus",NA,"N","Pass","RVyJ5B/Sf3DYxyju9jcgbA==",NA,NA,"20201217T042633Z"
"10add011-781b-4c15-80be-b5bf98faa507","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","2014-05-20 13:26:00","2017-11-29","BART_004-M-12-7-20140520-GEN",NA,"BART_004-M-12-7-20140520-GEN-DNA2","BMI_Plate19WellG2","metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,8.1,"Quantus",NA,"N","Pass","RVyJ5B/Sf3DYxyju9jcgbA==",NA,NA,"20201217T042633Z"
"757b818f-e6db-4be3-b179-bccabfe38979","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","2014-05-20 14:07:00","2017-06-09","BART_004-M-5-26-20140520-GEN",NA,"BART_004-M-5-26-20140520-GEN-DNA2","BMI_Plate8WellB2","marker gene and metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,6.7,NA,NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T042633Z"
"1215bfc1-3ffe-49cd-9e64-b4d26c33f232","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","2014-05-20 14:07:00","2017-06-09","BART_004-O-5-26-20140520-GEN",NA,"BART_004-O-5-26-20140520-GEN-DNA2","BMI_Plate8WellE10","marker gene and metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,30,NA,NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T042633Z"
"d4084159-7360-4cb7-a92a-b03163209985","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","2014-05-20 14:40:00","2017-06-09","BART_004-M-35-24-20140520-GEN",NA,"BART_004-M-35-24-20140520-GEN-DNA2","BMI_Plate8WellC11","marker gene and metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,4.4,NA,NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T042633Z"
"629b3ba1-769c-4024-a3f0-acb8b4f824aa","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","2014-05-20 14:40:00","2017-11-29","BART_004-O-35-24-20140520-GEN",NA,"BART_004-O-35-24-20140520-GEN-DNA2","BMI_Plate19WellG1","metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,42,"Quantus",NA,"N","Pass","RVyJ5B/Sf3DYxyju9jcgbA==",NA,NA,"20201217T042633Z"
"51787249-c714-4354-ad2c-2e8a0aa00a81","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","2014-06-19 19:45:00","2017-06-09","BART_004-M-11-0-20140619-GEN",NA,"BART_004-M-11-0-20140619-GEN-DNA2","BMI_Plate8WellB9","marker gene and metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,13,NA,NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T042828Z"
"7115c7f7-9752-40b7-91d3-c201489a0256","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","2014-07-22 14:09:00","2017-06-09","BART_004-M-10-34-20140722-GEN",NA,"BART_004-M-10-34-20140722-GEN-DNA2","BMI_Plate8WellE4","marker gene and metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,17,NA,NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T042541Z"
"8c3a31f1-974b-4ab2-893a-f85c0571e0ad","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","2014-07-22 14:09:00","2017-06-09","BART_004-O-10-34-20140722-GEN",NA,"BART_004-O-10-34-20140722-GEN-DNA2","BMI_Plate8WellG2","marker gene and metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,27,NA,NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T042541Z"
"2f032d18-eee0-4d29-a353-59e139442923","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","2014-08-19 13:36:00","2017-11-29","BART_004-O-9-34-20140819-GEN",NA,"BART_004-O-9-34-20140819-GEN-DNA2","BMI_Plate19WellG3","metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,29,"Quantus",NA,"N","Pass","RVyJ5B/Sf3DYxyju9jcgbA==",NA,NA,"20201217T042621Z"
"4c045694-804a-4589-b713-d911e8a24af1","D01","BART","BART_001.basePlot.bgc","Battelle Applied Genomics","2016-07-25 16:38:00","2017-06-12","BART_001-O-20160725-COMP",NA,"BART_001-O-20160725-COMP-DNA1","BMI_Plate1WellE12","metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,11,"Quantus",NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T152923Z"
"707359f2-8ab0-47ea-9320-1ded520dd2a6","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","2016-07-25 19:08:00","2017-06-12","BART_004-O-20160725-COMP",NA,"BART_004-O-20160725-COMP-DNA1","BMI_Plate1WellG4","metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,38,"Quantus",NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T152923Z"
"d1e1fbb3-f0a6-4aff-bc15-b3d397a20daa","D01","BART","BART_042.basePlot.bgc","Battelle Applied Genomics","2016-07-25 21:15:00","2017-06-12","BART_042-O-20160725-COMP",NA,"BART_042-O-20160725-COMP-DNA1","BMI_Plate1WellG6","metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,37,"Quantus",NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T152923Z"
"4c462d80-b891-4720-ae64-162597a1ff80","D01","BART","BART_003.basePlot.bgc","Battelle Applied Genomics","2016-07-26 14:43:00","2017-11-29","BART_003-O-20160726-COMP",NA,"BART_003-O-20160726-COMP-DNA1","BMI_Plate19WellF9","metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,30,"Quantus",NA,"N","Pass","RVyJ5B/Sf3DYxyju9jcgbA==",NA,NA,"20201217T152923Z"
"ddaf5610-b14d-4090-9f07-3243ad3a6aab","D01","BART","BART_024.basePlot.bgc","Battelle Applied Genomics","2016-07-26 17:23:00","2017-06-12","BART_024-O-20160726-COMP",NA,"BART_024-O-20160726-COMP-DNA1","BMI_Plate1WellC11","metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,35,"Quantus",NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T152923Z"
"be4140e9-f093-4453-bef9-56e1334229ad","D01","BART","BART_023.basePlot.bgc","Battelle Applied Genomics","2016-07-26 20:00:00","2017-06-12","BART_023-O-20160726-COMP",NA,"BART_023-O-20160726-COMP-DNA1","BMI_Plate1WellC10","metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,18,"Quantus",NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T152923Z"
"049653b4-20fc-4321-8ea3-94fcb9daeb97","D01","BART","BART_002.basePlot.bgc","Battelle Applied Genomics","2016-07-27 13:17:00","2017-06-12","BART_002-O-20160727-COMP",NA,"BART_002-O-20160727-COMP-DNA1","BMI_Plate1WellG2","metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,35,"Quantus",NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T152923Z"
"9c9de457-a3e2-41d5-8364-85918e611078","D01","BART","BART_036.basePlot.bgc","Battelle Applied Genomics","2016-07-27 15:15:00","2017-06-12","BART_036-O-20160727-COMP",NA,"BART_036-O-20160727-COMP-DNA1","BMI_Plate1WellB9","metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,32,"Quantus",NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T152923Z"
