"uid","domainID","siteID","namedLocation","laboratoryName","sequencingFacilityID","startDate","endDate","sequencerRunID","dnaSampleID","dnaSampleCode","internalLabID","rawDataFileName","rawDataFileDescription","rawDataFilePath","remarks","dataQF","publicationDate"
"7ec74744-629c-44dd-a969-5e8d2caa1dc5","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","Battelle Memorial Institute",2014-05-20 13:26:00,2014-05-20 13:26:00,"HL7C5BGX7","BART_004-M-12-7-20140520-GEN-DNA2",NA,"BMI_Plate19WellG2","BMI_HL7C5BGX7_mms_R1_K.fastq.tar.gz","R1 metagenomic archive of fastq files","https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2018/BMI_HL7C5BGX7_mms_R1_K.fastq.tar.gz",NA,NA,"20201217T042633Z"
"8b03c6ba-de53-4291-879b-4fe26c39d5bd","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","Battelle Memorial Institute",2014-05-20 13:26:00,2014-05-20 13:26:00,"HLYVNBGX5","BART_004-M-12-7-20140520-GEN-DNA2",NA,"BMI_Plate19WellG2","BMI_HLYVNBGX5_mms_R1_E.fastq.tar.gz","R1 metagenomic archive of fastq files","https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2018/BMI_HLYVNBGX5_mms_R1_E.fastq.tar.gz",NA,NA,"20201217T042633Z"
"5709dd25-6822-4f90-b75b-372eaa30312a","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","Battelle Memorial Institute",2014-05-20 13:26:00,2014-05-20 13:26:00,"HL7C5BGX7","BART_004-M-12-7-20140520-GEN-DNA2",NA,"BMI_Plate19WellG2","BMI_HL7C5BGX7_mms_R2_K.fastq.tar.gz","R2 metagenomic archive of fastq files","https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2018/BMI_HL7C5BGX7_mms_R2_K.fastq.tar.gz",NA,NA,"20201217T042633Z"
"5b0e31a7-cc16-43c7-bb9c-e61f34ad3cef","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","Battelle Memorial Institute",2014-05-20 13:26:00,2014-05-20 13:26:00,"HLYVNBGX5","BART_004-O-12-7-20140520-GEN-DNA2",NA,"BMI_Plate19WellF12","BMI_HLYVNBGX5_mms_R1_D.fastq.tar.gz","R1 metagenomic archive of fastq files","https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2018/BMI_HLYVNBGX5_mms_R1_D.fastq.tar.gz",NA,"R1 data irretrievably lost","20201217T042633Z"
"d17e4515-89db-4f78-955e-b9e37a8fcdd1","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","Battelle Memorial Institute",2014-05-20 13:26:00,2014-05-20 13:26:00,"HT7FTBGX5","BART_004-O-12-7-20140520-GEN-DNA2",NA,"BMI_Plate19WellF12","BMI_HT7FTBGX5_mms_R2_A.fastq.tar.gz","R2 metagenomic archive of fastq files","https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2018/BMI_HT7FTBGX5_mms_R2_A.fastq.tar.gz",NA,NA,"20201217T042633Z"
"2ed1342d-0e6b-48ac-b74e-0ac0e496fb16","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","Battelle Memorial Institute",2014-05-20 13:26:00,2014-05-20 13:26:00,"HT7FTBGX5","BART_004-O-12-7-20140520-GEN-DNA2",NA,"BMI_Plate19WellF12","BMI_HT7FTBGX5_mms_R1_A.fastq.tar.gz","R1 metagenomic archive of fastq files","https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2018/BMI_HT7FTBGX5_mms_R1_A.fastq.tar.gz",NA,NA,"20201217T042633Z"
"5757eb93-2783-4224-aac1-212b1205d4f1","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","Battelle Memorial Institute",2014-05-20 13:26:00,2014-05-20 13:26:00,"HLYVNBGX5","BART_004-M-12-7-20140520-GEN-DNA2",NA,"BMI_Plate19WellG2","BMI_HLYVNBGX5_mms_R2_E.fastq.tar.gz","R2 metagenomic archive of fastq files","https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2018/BMI_HLYVNBGX5_mms_R2_E.fastq.tar.gz",NA,NA,"20201217T042633Z"
"6d9b8517-ec66-4a90-9280-74656946c3f5","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","Battelle Memorial Institute",2014-05-20 13:26:00,2014-05-20 13:26:00,"HLYVNBGX5","BART_004-O-12-7-20140520-GEN-DNA2",NA,"BMI_Plate19WellF12","BMI_HLYVNBGX5_mms_R2_D.fastq.tar.gz","R2 metagenomic archive of fastq files","https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2018/BMI_HLYVNBGX5_mms_R2_D.fastq.tar.gz",NA,NA,"20201217T042633Z"
"a7ba2bc9-0da8-43cc-9f6f-643e1fe7438b","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","Battelle Memorial Institute",2014-05-20 14:07:00,2014-05-20 14:07:00,"HHWLYBGX5","BART_004-M-5-26-20140520-GEN-DNA2",NA,"BMI_Plate8WellB2","BMI_HHWLYBGX5_mms_R2_C.fastq.tar.gz","R2 metagenomic archive of fastq files","https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2018/BMI_HHWLYBGX5_mms_R2_C.fastq.tar.gz",NA,NA,"20201217T042633Z"
"389f9548-a061-40c5-8f14-4b96ed572e6a","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics","Battelle Memorial Institute",2014-05-20 14:07:00,2014-05-20 14:07:00,"HHWLYBGX5","BART_004-O-5-26-20140520-GEN-DNA2",NA,"BMI_Plate8WellE10","BMI_HHWLYBGX5_mms_R1_E.fastq.tar.gz","R1 metagenomic archive of fastq files","https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2018/BMI_HHWLYBGX5_mms_R1_E.fastq.tar.gz",NA,NA,"20201217T042633Z"
